game_id,team,opponent,off_epa,off_plays,off_epa_per_play,def_epa,def_plays,def_epa_per_play,season
2003_02_DET_GB,DET,GB,-30.827396,73,-0.4222931012715379,2.2039924,63,0.03498400582207574,2003
2003_02_DET_GB,GB,DET,2.2039924,63,0.03498400582207574,-30.827396,73,-0.4222931012715379,2003
2003_02_HOU_NO,HOU,NO,-17.086681,65,-0.2628720210148738,2.1931586,55,0.03987561139193448,2003
2003_02_HOU_NO,NO,HOU,2.1931586,55,0.03987561139193448,-17.086681,65,-0.2628720210148738,2003
2003_02_MIA_NYJ,MIA,NYJ,12.662754,64,0.19785553216934204,0.56239253,56,0.01004272380045482,2003
2003_02_MIA_NYJ,NYJ,MIA,0.56239253,56,0.01004272380045482,12.662754,64,0.19785553216934204,2003
2003_02_NE_PHI,NE,PHI,-2.0728061,74,-0.02801089351241653,-32.054043,71,-0.4514653917769311,2003
2003_02_NE_PHI,PHI,NE,-32.054043,71,-0.4514653917769311,-2.0728061,74,-0.02801089351241653,2003
2003_02_PIT_KC,KC,PIT,-0.55015546,55,-0.01000282656062733,-15.40758,65,-0.23703969808725212,2003
2003_02_PIT_KC,PIT,KC,-15.40758,65,-0.23703969808725212,-0.55015546,55,-0.01000282656062733,2003
2003_02_SEA_ARI,ARI,SEA,-30.480255,72,-0.42333687676323783,15.739477,52,0.30268225303063023,2003
2003_02_SEA_ARI,SEA,ARI,15.739477,52,0.30268225303063023,-30.480255,72,-0.42333687676323783,2003
2003_02_SF_STL,LA,SF,-7.849613,65,-0.12076327984149639,1.9349183,65,0.029767973606403056,2003
2003_02_SF_STL,SF,LA,1.9349183,65,0.029767973606403056,-7.849613,65,-0.12076327984149639,2003
2003_02_TEN_IND,IND,TEN,0.39466095,56,0.00704751695905413,-19.090353,56,-0.3408991609300886,2003
2003_02_TEN_IND,TEN,IND,-19.090353,56,-0.3408991609300886,0.39466095,56,0.00704751695905413,2003
2003_02_WAS_ATL,ATL,WAS,-10.080417,61,-0.16525273244889055,2.13768,76,0.028127369127775494,2003
